image_path,class_name,lesion_score
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_678maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.4523
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_200maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8546
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1197maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6569
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1088maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3896
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_274maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5733
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2620maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.7878
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2395maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2118
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2861maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5159
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2494maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5028
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2825maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8784
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_285maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.0427
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1021maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6406
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1333maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9668
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2701maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1913
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_6maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5178
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2740maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3373
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_970maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.554
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1196maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3574
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1194maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3292
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_878maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.3785
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1245maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8501
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1373maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.7977
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1872maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5832
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_30maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.686
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1353maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.378
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1167maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2297
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2801maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.0738
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_162maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.47
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2127maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6003
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2147maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8174
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2137maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.0866
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1006maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8788
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2128maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6196
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_295maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.0795
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1024maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.3483
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1442maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8369
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_239maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7996
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2564maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4647
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_252maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6484
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_310maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1217
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2525maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1381
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1050maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4382
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_230maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.145
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1087maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9414
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_135maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.076
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1470maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8213
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_357maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2431
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_917maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.1223
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1234maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6158
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2235maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3108
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_117maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6977
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1728maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3605
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_444maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2763
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_616maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.1839
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_264maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2202
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_657maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9588
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2288maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1224
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1133maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1392
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1216maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5784
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2311maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3004
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_310maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.1911
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_97maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.0574
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_456maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9365
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2731maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8469
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1051maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.405
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_995maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.1695
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1560maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3423
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1718maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4556
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_137maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.0545
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1432maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9561
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_130maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3767
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2870maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6849
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1830maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5816
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_499maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7602
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_87maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6465
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1026maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.062
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1241maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5873
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2188maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3774
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2791maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5922
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_896maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.3373
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2542maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6217
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_330maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9892
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_411maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2933
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1171maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6149
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1840maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2572
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1730maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4471
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1106maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5963
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2693maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2453
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_849maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.0586
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1612maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2575
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2239maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2954
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_137maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1132
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_793maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2721
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_272maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9727
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1668maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.0845
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2133maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5016
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1249maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9382
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1358maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3039
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1252maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8027
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_448maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6829
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1048maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4282
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_159maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9293
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_22maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2525
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2010maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.577
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_513maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8324
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1248maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.331
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1361maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5735
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_854maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7029
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2823maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2833
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2867maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2719
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1387maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9104
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_276maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7922
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2376maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3438
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2812maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4263
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_315maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2331
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1816maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4712
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2218maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2544
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_384maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9858
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2707maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9339
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1162maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.127
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_732maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5599
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1018maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8431
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1042maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.7673
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2426maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1379
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2460maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4654
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2581maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.4672
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_645maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.4182
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_256maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1414
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1768maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3176
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_3708maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5391
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_583maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.2677
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1008maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5579
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2776maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.5381
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_639maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.4604
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_145maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.138
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_182maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1993
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1337maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9815
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2663maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.3965
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_524maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.9554
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_565maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8534
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2301maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.7221
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1933maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1011
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_864maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5316
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2896maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.85
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_318maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.26
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1165maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6855
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2367maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.382
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2676maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6464
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2577maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.1426
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_475maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.8853
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2432maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.8948
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_458maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7048
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_139maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.2246
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_244maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.7636
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1117maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.4192
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_354maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.6198
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1094maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.3878
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1794maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.6152
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_658maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.5401
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_2083maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.9163
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_106maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.405
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_937maize_valid_leaf spot.JPG,Gray_Leaf_Spot,0.4813
/home/victor-e/maize-disease-detection/data/processed/Gray_Leaf_Spot/Mendeley_1938maize_train_leaf spot.JPG,Gray_Leaf_Spot,0.177
